sys,pub
37,269
28,220
15,21
1,86
54,250
1,207
13,218
4,249
45,21
16,223
37,17
10,63
2,59
16,79
15,263
28,53
27,8
8,260
11,265
27,93
13,195
4,226
51,221
16,200
2,36
1,220
14,10
34,25
45,263
37,259
13,51
3,266
28,210
15,11
28,66
54,204
27,250
10,17
8,93
54,60
13,208
45,11
3,14
1,53
4,95
3,279
15,253
54,217
11,255
13,185
10,259
16,190
54,73
45,253
37,249
4,72
3,256
51,67
14,265
1,66
27,204
54,194
11,232
27,60
4,193
51,188
47,154
27,96
16,203
3,233
15,207
13,54
47,684
3,269
16,59
8,204
27,217
11,209
47,131
8,60
27,73
4,206
45,207
10,249
51,21
2,16
1,200
34,234
54,63
4,62
2,281
16,36
14,255
15,220
55,256
28,10
27,194
11,186
37,95
8,217
11,222
4,183
10,226
47,144
8,73
45,220
10,262
13,8
2,258
3,223
47,409
13,273
47,674
3,79
8,194
27,207
15,53
47,121
54,17
27,63
4,196
11,55
37,193
2,235
3,200
51,11
34,224
1,10
13,250
37,229
4,281
13,21
4,52
45,53
10,95
28,265
15,66
2,212
54,259
47,134
8,63
11,68
37,206
51,253
47,628
10,72
14,222
55,223
1,252
13,263
45,66
11,189
27,17
47,111
27,53
37,183
10,229
4,6
2,225
3,190
1,638
13,11
51,266
16,16
1,265
14,55
13,96
28,255
27,259
8,17
11,22
10,206
54,249
3,203
10,62
2,58
13,253
16,258
37,52
2,94
3,59
28,232
14,68
10,183
8,259
54,226
47,101
11,264
11,35
51,220
54,262
14,189
21,85
47,631
16,235
2,71
28,209
1,255
3,36
15,10
27,249
11,12
10,196
2,192
13,207
4,9
45,10
1,641
16,212
37,6
10,52
28,186
1,232
54,95
14,22
4,94
28,222
15,252
8,249
27,262
2,25
54,72
13,220
4,251
45,252
16,225
2,61
14,264
55,36
47,477
15,265
28,55
54,193
8,226
10,186
8,262
54,229
27,95
55,193
1,222
14,12
45,265
13,53
47,683
3,268
51,79
16,94
28,68
54,206
4,205
51,200
8,95
34,233
54,62
13,210
37,9
3,16
28,189
14,254
14,25
1,55
37,274
13,66
3,281
16,71
15,255
54,183
27,229
11,221
47,143
8,72
16,192
2,257
47,408
1,212
45,255
3,258
15,232
55,268
28,22
1,68
27,206
8,193
8,229
54,196
11,234
27,62
4,195
51,190
10,9
1,189
34,223
54,52
45,232
4,51
2,270
3,235
16,25
27,183
47,686
16,61
28,264
28,35
8,206
11,211
21,261
47,133
8,62
4,208
11,67
37,205
2,247
3,212
14,221
1,22
15,222
55,258
28,12
27,196
11,188
54,6
27,52
4,185
2,224
47,146
45,222
10,264
13,10
3,225
47,411
14,234
55,6
47,676
8,196
15,55
47,123
8,52
1,12
13,252
4,54
45,55
47,653
37,51
15,212
2,93
1,277
14,67
27,186
3,94
21,228
15,68
10,218
2,214
14,188
47,136
34,203
45,212
37,208
51,255
47,630
14,224
15,189
55,225
1,25
13,265
34,59
45,68
16,270
3,71
8,6
11,11
10,195
47,113
54,9
45,189
4,8
1,640
3,192
4,273
28,221
1,267
15,22
10,208
2,204
4,250
4,21
45,22
16,224
2,60
13,255
37,54
47,476
3,61
28,234
15,264
27,9
10,185
47,103
51,222
2,217
14,191
55,192
1,221
13,232
4,263
45,264
2,73
28,211
15,12
